Depth/ms,Heave/m,Throw/ms
2709.02,12.1816,3.04557
2716.66,10.3753,3.66347
2724.51,8.28608,5.64986
2737.77,8.04888,7.09353
2745.55,7.13614,7.07724
2764.84,4.34338,1.01166
2775.44,2.88422,0.231708
2795.7,12.0463,7.83372
2806.14,10.0764,8.22768
2814.56,10.4117,12.7511
2834.61,6.41566,4.37798
2850.02,17.6148,7.53825
2856.56,17.6148,11.8188
2867.41,15.0768,10.0459
2879.67,20.0771,12.2582
2895.75,26.1381,12.8643
2910.82,20.0771,15.4705
2922,19.628,14.8441
2944.9,27.1988,14.0613
2969.93,14.2796,14.6524
2981.3,16.4684,10.1887
2997.1,13.0682,7.94992
3014.79,9.60646,5.6652
3035.11,11.7655,5.80321
3044.14,15.3788,10.2418
3056.99,14.73,9.01835
3067.56,23.5574,7.86024
3084.04,9.17067,4.27293
3098.12,10.732,0.31407
3118.38,4.98036,1.05728
3133.06,3.64663,0.351265
3147.32,5.5336,0.914
3162.16,4.51704,0.530939
