Depth/ms,Heave/m,Throw/ms
2700.02,9.17382,5.15259
2709.1,11.6405,6.78894
2716.65,12.9913,8.61537
2726.24,18.0721,9.39716
2735.54,22.0185,13.2109
2743.65,15.7771,12.1354
2750.03,15.1411,14.6656
2756.84,17.5425,14.6613
2772.8,18.846,7.53825
2792.74,21.4029,12.3112
2802.93,17.9037,13.4689
2806.85,23.8652,16.5728
2816.12,15.6919,14.4404
2828.9,13.8771,10.2189
2842.19,23.5574,14.7735
2851.96,26.7537,13.495
2860.58,28.2926,13.8264
2872.5,25.2148,12.2402
2887.4,13.0334,10.5064
2905.41,28.2926,12.548
2919.77,28.3373,9.74296
2936.1,13.5509,9.31373
2961.89,6.58699,2.9216
2977.3,9.67317,0.469155
2986.94,7.46215,1.96973
3002.38,5.6241,1.33731
3018.63,11.1316,2.06496
3033.45,8.08826,2.86501
3052.19,3.74355,1.39453
