Inline No.,Hangingwall,Footwall,Throw,,,,,,,,
8418,3104.16,3104.27,0.11,,,,,,,,
8417,3105.21,3105.33,0.12,,,,,,,,
8416,3105.51,3106.58,1.07,,,,,,,,
8415,3105.13,3106.36,1.23,,,,,,,,
8414,3106.92,3107.93,1.01,,,,,,,,
8413,3107.68,3109.43,1.75,,,,,,,,
8412,3107.22,3109.67,2.45,,,,,,,,
8411,3108.49,3111.68,3.19,,,,,,,,
8410,3109.13,3112.99,3.86,,,,,,,,
8409,3109.78,3113.29,3.51,,,,,,,,
8408,3109.5,3112.43,2.93,,,,,,,,
8407,3110.52,3112.22,1.7,,,,,,,,
8406,3110.64,3112.63,1.99,,,,,,,,
8405,3110.35,3112.73,2.38,,,,,,,,
8404,3110.76,3112.73,1.97,,,,,,,,
8403,3110.81,3112.54,1.73,,,,,,,,
8402,3111.07,3112.77,1.7,,,,,,,,
8401,3111.5,3113.65,2.15,,,,,,,,
8400,3112.14,3114.18,2.04,,,,,,,,
8399,3112.72,3115.67,2.95,,,,,,,,
8398,3112.95,3115.58,2.63,,,,,,,,
8397,3113.74,3116.62,2.88,,,,,,,,
8396,3115.11,3118.04,2.93,,,,,,,,
8395,3115.49,3117.62,2.13,,,,,,,,
8394,3116.65,3117.47,0.82,,,,,,,,
8393,3117.23,3117.87,0.64,,,,,,,,
8392,3117.04,3117.77,0.73,,,,,,,,
8391,3117.5,3118.5,1,,,,,,,,
8390,3117.84,3119.3,1.46,,,,,,,,
8389,3118.86,3120.12,1.26,,,,,,,,
8388,3120.34,3121.47,1.13,,,,,,,,
8387,3120.56,3121.97,1.41,,,,,,,,
8386,3121.66,3123.2,1.54,,,,,,,,
8385,3121.94,3123.15,1.21,,,,,,,,
8384,3121.26,3121.81,0.55,,,,,,,,
8383,3120.91,3121.18,0.27,,,,,,,,
8382,3121.41,3121.75,0.34,,,,,,,,
8381,3121.39,3121.58,0.19,,,,,,,,
8380,3122.34,3122.98,0.64,,,,,,,,
8379,3123.35,3123.6,0.25,,,,,,,,
8378,3124.15,3124.43,0.28,,,,,,,,
8377,3124.89,3125.04,0.15,,,,,,,,
8376,3125.66,3125.85,0.19,,,,,,,,
8375,3126.3,3127.74,1.44,,,,,,,,
8374,3127.04,3128.24,1.2,,,,,,,,
8373,3127.84,3129.03,1.19,,,,,,,,
8372,3127.78,3129.26,1.48,,,,,,,,
8371,3128.02,3129.09,1.07,,,,,,,,
8370,3128.14,3128.95,0.81,,,,,,,,
8369,3128.44,3129.86,1.42,,,,,,,,
8368,3128.9,3129.98,1.08,,,,,,,,
8367,3128.13,3129.7,1.57,,,,,,,,
8366,3128.49,3130.37,1.88,,,,,,,,
8365,3128.41,3130.87,2.46,,,,,,,,
8364,3128.73,3131.3,2.57,,,,,,,,
8363,3129.03,3130.49,1.46,,,,,,,,
8362,3128.36,3130.76,2.4,,,,,,,,
8361,3127.49,3130.95,3.46,,,,,,,,
8360,3127.84,3130.84,3,,,,,,,,
8359,3128.41,3131.03,2.62,,,,,,,,
8358,3128.27,3130.29,2.02,,,,,,,,
8357,3128.27,3130.2,1.93,,,,,,,,
8356,3127.56,3130.85,3.29,,,,,,,,
8355,3127.97,3131.19,3.22,,,,,,,,
8354,3131.65,3135.35,3.7,,,,,,,,
8353,3129.85,3135.67,5.82,,,,,,,,
8352,3129.33,3135.13,5.8,,,,,,,,
8351,3129.12,3134.77,5.65,,,,,,,,
8350,3128.58,3133.69,5.11,,,,,,,,
8349,3123.55,3126.96,3.41,,,,,,,,
8348,3122.41,3126.51,4.1,,,,,,,,
8347,3122.1,3125.84,3.74,,,,,,,,
8346,3121.38,3125.39,4.01,,,,,,,,
8345,3120.81,3124.38,3.57,,,,,,,,
8344,3121.44,3123.56,2.12,,,,,,,,
8343,3120.93,3123.36,2.43,,,,,,,,
8342,3118.9,3122.6,3.7,,,,,,,,
8341,3120.18,3123.25,3.07,,,,,,,,
8340,3119.56,3123.79,4.23,,,,,,,,
8339,3118.89,3123.7,4.81,,,,,,,,
8338,3119.03,3122.67,3.64,,,,,,,,
8337,3120.75,3122.47,1.72,,,,,,,,
