Xline No.,Hangingwall,Footwall,Throw
4062,2985.25,2989.76,4.51
4061,2986.82,2994.65,7.83
4060,2988.53,2996.82,8.29
4059,2990.05,2998.24,8.19
4058,2991.66,2999.02,7.36
4057,2993.17,3000.57,7.4
4056,2996.64,3001.31,4.67
4055,2996.48,3001.67,5.19
4054,2997.33,3004.67,7.34
4053,2999.72,3009.38,9.66
4052,3001.28,3011.69,10.41
4051,3000.75,3008.86,8.11
4050,2999.98,3008.43,8.45
4049,3000.59,3013.5,12.91
4048,3002.13,3014.07,11.94
4047,3005.98,3019.35,13.37
4046,3008.48,3022.09,13.61
4045,3010.93,3023.6,12.67
4044,3013.12,3026.24,13.12
4043,3014.98,3028.87,13.89
4042,3016.88,3030.34,13.46
4041,3021.28,3035.23,13.95
4040,3023.18,3036.43,13.25
4039,3025.56,3037.7,12.14
4038,3026.3,3039.51,13.21
4037,3028.34,3040.32,11.98
4036,3034.5,3047.25,12.75
4035,3036,3048.25,12.25
4034,3031.88,3043.32,11.44
4033,3032.67,3043.71,11.04
4032,3033.47,3044.79,11.32
4031,3034.29,3046.32,12.03
4030,3035.18,3048.15,12.97
4029,3052.24,3063.19,10.95
4028,3053.83,3063.52,9.69
4027,3054.71,3064.79,10.08
4026,3056.13,3065.77,9.64
4025,3057.35,3066.75,9.4
4024,3058.58,3067.29,8.71
4023,3059.5,3068.86,9.36
4022,3061.09,3070.39,9.3
4021,3062.59,3072.12,9.53
4020,3063.11,3072.88,9.77
4019,3064.35,3073.47,9.12
4018,3065.14,3074.26,9.12
4017,3066.7,3074.94,8.24
4016,3067.39,3076.03,8.64
4015,3068.32,3076.58,8.26
4014,3070,3076.89,6.89
4013,3071.29,3077.21,5.92
4012,3072.89,3077.37,4.48
4011,3073.42,3077.88,4.46
4010,3072.79,3078.51,5.72
4009,3072.94,3079.01,6.07
4008,3070.69,3079.46,8.77
4007,3069.43,3079.27,9.84
4006,3068.55,3079.56,11.01
4005,3068.49,3080.36,11.87
4004,3068.85,3080.76,11.91
4003,3068.79,3080.97,12.18
4002,3068.98,3081.15,12.17
4001,3069.28,3081.28,12
4000,3069.53,3081.89,12.36
3999,3069.89,3082.87,12.98
3998,3070.06,3082.74,12.68
3997,3070.46,3086.59,16.13
3996,3070.75,3083.16,12.41
3995,3070.72,3083.69,12.97
3994,3071.16,3084.18,13.02
3993,3071.65,3084.28,12.63
3992,3072.43,3084.67,12.24
3991,3072.92,3084.03,11.11
3990,3073.31,3084.37,11.06
3989,3073.45,3084.76,11.31
3988,3073.58,3085.11,11.53
3987,3074.33,3085.23,10.9
3986,3074.77,3085.33,10.56
3985,3075.11,3085.7,10.59
3984,3075.63,3085.75,10.12
3983,3076.16,3085.92,9.76
3982,3076.97,3086.61,9.64
3981,3077.16,3087,9.84
3980,3077.79,3087.51,9.72
3979,3078.21,3088.06,9.85
3978,3078.89,3088.16,9.27
3977,3079.04,3088.19,9.15
3976,3079.33,3089.16,9.83
3975,3079.87,3089.6,9.73
3974,3079.5,3090.46,10.96
3973,3080.25,3090.74,10.49
3972,3080.45,3091.14,10.69
