Xline No.,Hangingwall,Footwall,Throw
3971,3080.52,3091.72,11.2
3970,3081.13,3092.16,11.03
3969,3081.16,3092.93,11.77
3968,3081.3,3093.51,12.21
3967,3081.63,3093.73,12.1
3966,3081.68,3094.15,12.47
3965,3081.81,3094.68,12.87
3964,3081.87,3095.15,13.28
3963,3082.14,3095.15,13.01
3962,3082.68,3095.37,12.69
3961,3082.84,3095.84,13
3960,3082.74,3096.21,13.47
3959,3083.22,3096.27,13.05
3958,3083.94,3096.25,12.31
3957,3083.59,3096.28,12.69
3956,3083.65,3096.65,13
3955,3083.58,3096.54,12.96
3954,3083.1,3096.54,13.44
3953,3083.54,3097.24,13.7
3952,3083.97,3097.75,13.78
3951,3084.21,3098.54,14.33
3950,3084.13,3099.05,14.92
3949,3084.8,3099.17,14.37
3948,3085,3099.13,14.13
3947,3084.9,3099.03,14.13
3946,3085.21,3098.91,13.7
3945,3085.6,3099.85,14.25
3944,3085.22,3101.68,16.46
3943,3072.84,3087.41,14.57
3942,3073.09,3087.34,14.25
3941,3073.42,3087.53,14.11
3940,3073.66,3088.32,14.66
3939,3073.73,3087.83,14.1
3938,3073.5,3087.34,13.84
3937,3073.48,3087.38,13.9
3936,3073.65,3087.72,14.07
3935,3073.61,3087.43,13.82
3934,3073.65,3087.67,14.02
3933,3073.97,3086.74,12.77
3932,3073.82,3086.35,12.53
3931,3073.73,3086.6,12.87
3930,3073.33,3085.77,12.44
3929,3073.23,3084.88,11.65
3928,3072.89,3084.59,11.7
3927,3072.89,3083.81,10.92
3926,3072.11,3084.54,12.43
3925,3071.72,3085.13,13.41
3924,3072.45,3083.12,10.67
3923,3072.3,3082.39,10.09
3922,3072.3,3081.46,9.16
3921,3072.3,3081.55,9.25
3920,3072.34,3081.51,9.17
3919,3070.63,3082.31,11.68
3918,3070.38,3082.92,12.54
3917,3070.13,3082.8,12.67
3916,3069.96,3082.49,12.53
3915,3082.45,3095.47,13.02
3914,3082.3,3094.93,12.63
3913,3082.5,3094.24,11.74
3912,3071.03,3080.94,9.91
3911,3072.71,3081.05,8.34
3910,3072.94,3080.59,7.65
3909,3086.46,3094.84,8.38
3908,3086.48,3095.37,8.89
3907,3086.48,3095.99,9.51
3906,3086.28,3095.09,8.81
3905,3086.21,3093.33,7.12
3904,3085.74,3092.51,6.77
3903,3084.9,3092.3,7.4
3902,3084.07,3091.56,7.49
3901,3082.9,3090.81,7.91
3900,3081.96,3090.46,8.5
3899,3081.69,3089.91,8.22
3898,3081.49,3089.09,7.6
3897,3081.22,3088.34,7.12
3896,3080.12,3088.22,8.1
3895,3079.42,3088.11,8.69
3894,3078.71,3088.11,9.4
3893,3078.24,3086.97,8.73
3892,3078.03,3086.01,7.98
3891,3077.95,3085.58,7.63
3890,3077.4,3085.31,7.91
3889,3076.73,3084.65,7.92
3888,3076.64,3084.43,7.79
3887,3075.33,3083.57,8.24
3886,3074.58,3081.88,7.3
3885,3074.42,3081.22,6.8
3884,3072.98,3080.65,7.67
3883,3071.66,3080.08,8.42
3882,3070.6,3079.37,8.77
3881,3070.05,3078.35,8.3
3880,3069.3,3076.76,7.46
3879,3068.97,3075.38,6.41
3878,3068.19,3075.04,6.85
3877,3067.21,3074.79,7.58
3876,3066.67,3074.79,8.12
3875,3066.08,3074.6,8.52
3874,3065.69,3074.4,8.71
3873,3065.3,3074.16,8.86
3872,3064.54,3073.79,9.25
3871,3063.84,3073.31,9.47
3870,3062.94,3072.45,9.51
3869,3062.4,3071.45,9.05
3868,3061.15,3070.55,9.4
3867,3058.64,3069.53,10.89
3866,3057.66,3067.65,9.99
3865,3056.55,3066.73,10.18
3864,3055.23,3066.1,10.87
3863,3054.4,3065.95,11.55
3862,3053.42,3066.05,12.63
3861,3052.81,3065.78,12.97
3860,3051.69,3065.31,13.62
3859,3050.53,3064.47,13.94
3858,3049.2,3063.46,14.26
3857,3035.16,3050.35,15.19
3856,3047.08,3062.5,15.42
3855,3045.71,3062.31,16.6
3854,3045.32,3061.13,15.81
3853,3042.83,3060.84,18.01
3852,3040.69,3060.7,20.01
3851,3040.63,3058.98,18.35
3850,3038.61,3057.39,18.78
3849,3037.29,3054.42,17.13
3848,3035.57,3053.33,17.76
3847,3034.28,3053.78,19.5
3846,3031.99,3050.65,18.66
3845,3021,3039.73,18.73
3844,3027.56,3042.97,15.41
3843,3025.18,3038.33,13.15
3842,3018.31,3033.69,15.38
3841,3015.77,3032.47,16.7
3840,3012.64,3031.4,18.76
3839,3011.21,3029.66,18.45
3838,3010.01,3028.65,18.64
3837,3009.17,3027.33,18.16
3836,3007.01,3024.22,17.21
3835,3005.48,3024.31,18.83
3834,3003.28,3022.97,19.69
3833,3002.04,3022.69,20.65
3832,3001.37,3020.3,18.93
3831,3000.41,3019.72,19.31
3830,2999.27,3017.91,18.64
3829,2999.17,3014.47,15.3
3828,2999.55,3010.64,11.09
3827,2999.34,3007.22,7.88
3826,2999.17,3005.9,6.73
3825,2998.62,3005.78,7.16
3824,2997.09,3005.96,8.87
