Depth/ms,Heave/m,Throw/ms
2746.03,5.16232,4.03217
2756.07,2.87491,0.775169
2763.4,3.60458,1.19125
2773.45,3.71446,1.26912
2780.66,9.36244,8.33185
2788.2,9.2462,7.31947
2796.15,7.33007,6.12114
2805.63,6.46178,6.7244
2814.74,11.6569,7.99051
2824.2,7.56595,5.62045
2835.23,8.47999,6.38805
2850.62,8.47562,9.61602
2859.13,11.7034,12.6388
2869.38,11.2637,9.90316
2882.44,12.8287,11.9027
2899.55,11.2806,9.70854
2913.71,22.0469,14.4704
2928.3,25.0723,11.067
2953.07,16.9977,6.9201
2976.94,10.1584,8.423339
2990.34,19.696,6.01465
3007.11,4.91328,0.976564
3021.61,7.555565,2.76245
3039.11,24.219,3.34311
3048.55,13.8508,7.37857
3059.19,12.7879,9.47104
3066.98,15.327,11.6785
3071.32,11.8417,10.5328
3081.57,11.0952,7.92514
3091.26,12.6911,7.22058
3110.86,12.1737,6.88302
3121.44,15.9145,11.7014
3138.96,17.6085,13.2472
3153.03,16.8373,11.2179
3167.45,21.4029,12.046
3180.54,17.5201,9.05348
3196.39,25.1911,7.27309
3205.8,12.5955,10.0573
3217.33,9.72529,10.6504
3225.55,12.5955,4.52674
