Depth/ms,Heave/m,Throw/ms
2655.2,21.4029,5.28435
2664.23,16.4248,5.79314
2679.52,13.0312,6.43971
2692.38,9.85106,11.7483
2705.13,15.0768,10.4551
2712.5,10.5103,14.1109
2720.14,10.8319,15.5516
2727.77,11.6471,15.9639
2736.61,16.0617,13.2582
2744.64,13.0757,12.9941
2751.46,14.9178,14.7825
2758.71,19.0922,12.0612
2771.81,12.0958,7.97551
2780.73,17.5201,9.54593
2793.05,20.0771,10.796
2803.23,21.4029,12.3112
2810.59,22.6341,14.0537
2817.4,22.6341,13.0688
2829.72,22.6341,13.3151
2842.93,19.0376,15.9701
2852.8,25.0964,15.3227
2861.37,17.5836,15.007
2873.87,16.3188,12.985
2890.6,21.4029,10.8149
2904.05,23.8652,15.8152
2917.5,21.2458,11.7354
2939.24,15.0768,9.45501
2960.09,10.0764,1.80312
2972.16,20.8545,10.0052
2987,17.1224,7.0458
3004.4,6.06462,3.51449
3021.67,25.5874,5.58698
3029.33,17.6148,7.0458
3043.9,10.0422,5.64658
3057.28,5.00457,2.19055
3061.07,12.5955,3.76913
3070.77,7.2646,1.27839
