Depth/ms,Heave/m,Throw/ms
2799.31,25.1532,3.40926
2808.96,20.0771,4.21233
2818.81,21.1378,3.81837
2828.05,22.1227,4.01535
2838.51,15.0768,3.0153
2854.78,13.1069,3.0153
2864.74,15.0768,7.0458
2876.14,14.0161,3.81837
2886.13,14.0918,9.24288
2904.21,15.0768,7.24278
2919.3,16.0617,11.0612
2930.9,14.7493,8.17915
2953.98,13.0351,7.46016
2978.97,21.4029,8.54209
2992.08,17.3768,6.61347
3006.15,6.46962,3.94209
3023.38,15.2737,4.82448
3039.92,15.6257,10.4695
3049.32,13.0819,9.19423
3059.59,15.6766,12.5444
3069.78,16.9888,11.6046
3074.71,13.9055,11.9644
3083.94,18.1073,10.2429
3095.27,14.2454,9.79377
3116.08,10.6629,8.16395
3128.02,16.8628,10.4763
3136.07,15.9439,10.4489
3146.87,22.5394,8.29586
3159.98,9.69766,11.2505
3174.01,25.0964,6.78064
3185.56,18.846,6.53441
3206.22,18.846,8.29586
3218.82,10.0385,6.78064
3236.18,8.42311,0.0360946
3245.47,6.31721,0.343319
