Distance (km),CDP HW,CDP FW,Heave (CDP Diff),Heave (m),Z (ms) HW,Z (ms) FW,Throw (Z Diff),Throw (m),Displacement (m),,,
13.375,1418,1463,45,562.5,3492,3852,360,900.0,667.8,,,
13.500,1418,1464,46,575.0,3522,3824,302,755.0,649.5,,,
13.625,1419,1462,43,537.5,3500,3834,334,835.0,632.8,,,
13.750,1419,1465,46,575.0,3500,3842,342,855.0,669.0,,,
13.875,1419,1465,46,575.0,3520,3840,320,800.0,658.0,,,
14.000,1421,1462,41,512.5,3526,3814,288,720.0,587.9,,,
14.125,1421,1448,27,337.5,3506,3660,154,385.0,371.0,,,
14.250,1424,1469,45,562.5,3492,3814,322,805.0,648.1,,,
14.375,1424,1474,50,625.0,3484,3800,316,790.0,700.3,,,
14.500,1424,1470,46,575.0,3478,3802,324,810.0,660.0,,,
14.625,1424,1472,48,600.0,3512,3682,170,425.0,623.6,,,
14.750,1430,1473,43,537.5,3492,3796,304,760.0,617.5,,,
14.875,1432,1471,39,487.5,3476,3792,316,790.0,581.0,,,
15.000,1433,1479,46,575.0,3484,3772,288,720.0,643.1,,,
15.125,1437,1477,40,500.0,3454,3756,302,755.0,584.1,,,
15.250,1437,1485,48,600.0,3484,3752,268,670.0,657.1,,,
15.375,1438,1480,42,525.0,3484,3802,318,795.0,613.8,,,
15.500,1438,1482,44,550.0,3458,3754,296,740.0,624.6,,,
15.625,1439,1485,46,575.0,3482,3800,318,795.0,657.1,,,
15.750,1441,1482,41,512.5,3452,3770,318,795.0,603.1,,,
15.875,1441,1495,54,675.0,3524,3768,244,610.0,717.7,,,
16.000,1442,1468,26,325.0,3502,3672,170,425.0,366.8,,,
16.125,1444,1482,38,475.0,3476,3780,304,760.0,564.0,,,
16.250,1447,1496,49,612.5,3518,3770,252,630.0,662.3,,,
16.375,1455,1490,35,437.5,3520,3734,214,535.0,487.0,,,
16.500,1462,1492,30,375.0,3542,3728,186,465.0,418.6,,,
16.625,1464,1497,33,412.5,3548,3726,178,445.0,449.3,,,
16.750,1465,1510,45,562.5,3544,3752,208,520.0,599.7,,,
16.875,1470,1513,43,537.5,3536,3752,216,540.0,579.3,,,
17.000,1470,1515,45,562.5,3540,3768,228,570.0,607.0,,,
