Xline No.,Hangingwall,Footwall,Throw
4534,3081.81,3100.12,18.31
4535,3081.81,3099.67,17.86
4536,3081.54,3099.47,17.93
4537,3081.5,3099.34,17.84
4538,3081.33,3099.55,18.22
4539,3081.42,3099.16,17.74
4540,3081.11,3098.26,17.15
4541,3081.52,3096.38,14.86
4542,3080.72,3095.59,14.87
4543,3081.81,3095.95,14.14
4544,3081.92,3096.49,14.57
4545,3082.35,3096.53,14.18
4546,3083.17,3096.68,13.51
4547,3083.47,3096.49,13.02
4548,3083.92,3087.36,3.44
4549,3083.67,3088.61,4.94
4550,3083.04,3088.65,5.61
4551,3082.61,3088.96,6.35
4552,3082.17,3089.31,7.14
4553,3081.76,3089.4,7.64
4554,3081.43,3089.69,8.26
4555,3080.88,3089.77,8.89
4556,3080.17,3089.88,9.71
4557,3079.55,3089.73,10.18
4558,3079.12,3089.73,10.61
4559,3078.71,3089.75,11.04
4560,3078.4,3089.98,11.58
4561,3077.69,3089.98,12.29
4562,3077.77,3090.1,12.33
4563,3077.3,3090.16,12.86
4564,3076.75,3090.46,13.71
4565,3076.54,3090.63,14.09
4566,3076.18,3090.32,14.14
4567,3074.89,3090.59,15.7
4568,3074.36,3090.36,16
4569,3073.68,3090.12,16.44
4570,3073.17,3090.01,16.84
4571,3072.93,3089.62,16.69
4572,3072.44,3088.51,16.07
4573,3071.98,3087.76,15.78
4574,3071.16,3087.06,15.9
4575,3070.6,3086.65,16.05
4576,3070.21,3086.51,16.3
4577,3069.57,3086.26,16.69
4578,3069.87,3086.65,16.78
4579,3069.28,3086.46,17.18
4580,3068.89,3086.7,17.81
4581,3068.84,3087.1,18.26
4582,3069.13,3086.53,17.4
4583,3072.02,3088.27,16.25
4584,3072.15,3088.17,16.02
4585,3072.23,3087.77,15.54
4586,3069.19,3086.11,16.92
4587,3069.39,3086.22,16.83
4588,3069,3086.26,17.26
4589,3069.08,3085.95,16.87
4590,3068.64,3085.76,17.12
4591,3068.68,3085.62,16.94
4592,3068.41,3085.31,16.9
4593,3068.84,3085.32,16.48
4594,3070.8,3086.8,16
4595,3068.33,3083.76,15.43
4596,3067.66,3083.29,15.63
4597,3067.27,3082.9,15.63
4598,3067.66,3082.19,14.53
4599,3066.69,3081.88,15.19
4600,3066.18,3081.64,15.46
4601,3066.1,3081.76,15.66
4602,3065.58,3081.5,15.92
4603,3065.74,3081,15.26
4604,3065.37,3080.78,15.41
4605,3064.86,3080.53,15.67
4606,3064.36,3080.18,15.82
4607,3063.52,3079.3,15.78
4608,3062.61,3078.3,15.69
4609,3061.59,3078.44,16.85
4610,3061.18,3078.34,17.16
4611,3060.84,3077.56,16.72
4612,3060.9,3077.59,16.69
4613,3060.21,3077.47,17.26
4614,3060.36,3076.56,16.2
4615,3059.71,3075.83,16.12
4616,3059.21,3075.5,16.29
4617,3058.84,3074.81,15.97
4618,3058.46,3074.34,15.88
4619,3057.68,3073.56,15.88
4620,3057.18,3072.5,15.32
4621,3057.37,3070.94,13.57
4622,3057,3069.97,12.97
4623,3056.34,3069.09,12.75
4624,3055.81,3068.02,12.21
4625,3055.39,3066.84,11.45
4626,3054.67,3065.94,11.27
4627,3054.04,3065.27,11.23
4628,3053.38,3064.44,11.06
4629,3052.97,3063.72,10.75
4630,3051.94,3063.03,11.09
4631,3051.03,3062.34,11.31
4632,3050.12,3061.71,11.59
4633,3049.98,3061.2,11.22
4634,3049.48,3060.48,11
4635,3048.92,3060.91,11.99
4636,3048.21,3061.48,13.27
4637,3047.98,3061.57,13.59
4638,3047.9,3061.26,13.36
4639,3047.63,3060.78,13.15
4640,3046.96,3060.08,13.12
4641,3047,3059.38,12.38
4642,3046.9,3058.83,11.93
4643,3047.24,3057.98,10.74
4644,3047.05,3057.33,10.28
4645,3046.83,3056.39,9.56
4646,3046.71,3055.64,8.93
4647,3046.66,3054.84,8.18
4648,3046.28,3054.21,7.93
4649,3046.37,3053.43,7.06
4650,3046.6,3052.36,5.76
4651,3046.68,3051.18,4.5
4652,3045.9,3050.13,4.23
4653,3046.22,3049.13,2.91
