Xline No.,Hangingwall,Footwall,Throw,,,,,,,,
4108,3248.83,3271.23,22.4,,,,,,,,
4107,3248.04,3270.61,22.57,,,,,,,,
4106,3248.53,3271.04,22.51,,,,,,,,
4105,3249.14,3270.8,21.66,,,,,,,,
4104,3249.02,3270.37,21.35,,,,,,,,
4103,3247.55,3269.02,21.47,,,,,,,,
4102,3246.57,3268.29,21.72,,,,,,,,
4101,3244.86,3267.86,23,,,,,,,,
4100,3245.5,3267.53,22.03,,,,,,,,
4099,3246.16,3267.03,20.87,,,,,,,,
4098,3245.92,3267.03,21.11,,,,,,,,
4097,3245.23,3267.41,22.18,,,,,,,,
4096,3244.36,3267.33,22.97,,,,,,,,
4095,3244.47,3266.34,21.87,,,,,,,,
4094,3245.08,3265.88,20.8,,,,,,,,
4093,3244.7,3265.11,20.41,,,,,,,,
4092,3243.17,3264.5,21.33,,,,,,,,
4091,3242.63,3264.58,21.95,,,,,,,,
4090,3242.02,3264.89,22.87,,,,,,,,
4089,3241.18,3263.97,22.79,,,,,,,,
4088,3242.06,3262.75,20.69,,,,,,,,
4087,3242.4,3261.75,19.35,,,,,,,,
4086,3242.02,3260.76,18.74,,,,,,,,
4085,3241.41,3259.68,18.27,,,,,,,,
4084,3241.48,3258.77,17.29,,,,,,,,
4083,3240.87,3257.85,16.98,,,,,,,,
4082,3240.49,3257.01,16.52,,,,,,,,
4081,3240.11,3256.55,16.44,,,,,,,,
4080,3239.88,3256.09,16.21,,,,,,,,
4079,3238.81,3255.86,17.05,,,,,,,,
4078,3238.88,3254.95,16.07,,,,,,,,
4077,3237.35,3253.42,16.07,,,,,,,,
4076,3236.59,3252.19,15.6,,,,,,,,
4075,3235.82,3250.51,14.69,,,,,,,,
4074,3235.27,3248.39,13.12,,,,,,,,
4073,3234.87,3248.37,13.5,,,,,,,,
4072,3233.87,3248.37,14.5,,,,,,,,
4071,3233.15,3247.43,14.28,,,,,,,,
4070,3232.79,3246.85,14.06,,,,,,,,
4069,3231.78,3246.22,14.44,,,,,,,,
4068,3231.5,3245.72,14.22,,,,,,,,
4067,3230.97,3244.97,14,,,,,,,,
4066,3230.19,3244.31,14.12,,,,,,,,
4065,3229.1,3243.24,14.14,,,,,,,,
4064,3228.26,3242.41,14.15,,,,,,,,
4063,3227.63,3241.63,14,,,,,,,,
4062,3226.55,3240.8,14.25,,,,,,,,
4061,3225.52,3239.91,14.39,,,,,,,,
4060,3224.79,3239.28,14.49,,,,,,,,
4059,3223.37,3238.49,15.12,,,,,,,,
4058,3222.31,3237.83,15.52,,,,,,,,
4057,3221.24,3236.99,15.75,,,,,,,,
4056,3220.63,3235.46,14.83,,,,,,,,
4055,3219.4,3234.16,14.76,,,,,,,,
4054,3218.76,3232.4,13.64,,,,,,,,
4053,3218.33,3231.33,13,,,,,,,,
4052,3217.6,3230.38,12.78,,,,,,,,
