Distance (km),CDP HW,CDP FW,Heave (CDP Diff),Heave (m),Z (ms) HW,Z (ms) FW,Throw (Z Diff),Throw (m),Displacement (m),,
0.000,932,964,32,400.0,3398,3570,172,430,435.4,,
0.125,932,956,24,300.0,3392,3540,148,370,334.5,,
0.250,946,970,24,300.0,3418,3570,152,380,336.3,,
0.375,946,972,26,325.0,3406,3580,174,435,368.6,,
0.500,950,972,22,275.0,3422,3592,170,425,323.3,,
0.625,952,976,24,300.0,3410,3590,180,450,349.9,,
0.750,954,976,22,275.0,3396,3582,186,465,332.0,,
0.875,954,974,20,250.0,3424,3574,150,375,291.5,,
1.000,954,972,18,225.0,3424,3554,130,325,259.9,,
1.125,950,972,22,275.0,3414,3554,140,350,308.6,,
1.250,954,972,18,225.0,3424,3546,122,305,255.9,,
1.375,952,970,18,225.0,3420,3538,118,295,254.1,,
1.500,954,970,16,200.0,3430,3542,112,280,229.2,,
1.625,956,968,12,150.0,3436,3538,102,255,181.4,,
1.750,954,972,18,225.0,3410,3546,136,340,262.9,,
1.875,952,974,22,275.0,3416,3554,138,345,307.7,,
2.000,942,972,30,375.0,3404,3568,164,410,409.3,,
2.125,954,972,18,225.0,3402,3578,176,440,285.7,,
2.250,950,968,18,225.0,3378,3550,172,430,283.2,,
2.375,944,970,26,325.0,3392,3556,164,410,364.0,,
2.500,942,964,22,275.0,3396,3544,148,370,312.3,,
2.625,946,964,18,225.0,3420,3546,126,315,257.9,,
2.750,946,962,16,200.0,3396,3536,140,350,244.1,,
2.875,940,958,18,225.0,3392,3530,138,345,263.9,,
3.000,938,956,18,225.0,3422,3528,106,265,248.7,,
3.125,898,920,22,275.0,3424,3482,58,145,281.0,,
3.250,908,928,20,250.0,3440,3510,70,175,259.6,,
3.375,904,922,18,225.0,3448,3512,64,160,233.9,,
3.500,896,924,28,350.0,3432,3518,86,215,360.4,,
3.625,896,918,22,275.0,3428,3530,102,255,293.3,,
3.750,894,920,26,325.0,3432,3546,114,285,344.4,,
3.875,896,922,26,325.0,3448,3550,102,255,340.6,,
4.000,900,922,22,275.0,3452,3568,116,290,298.5,,
4.125,896,918,22,275.0,3464,3574,110,275,296.2,,
4.250,894,916,22,275.0,3472,3576,104,260,294.0,,
4.375,894,916,22,275.0,3480,3588,108,270,295.4,,
4.500,894,916,22,275.0,3486,3594,108,270,295.4,,
4.625,896,918,22,275.0,3492,3592,100,250,292.6,,
4.750,896,928,32,400.0,3496,3592,96,240,411.4,,
4.875,898,920,22,275.0,3496,3602,106,265,294.7,,
5.000,904,920,16,200.0,3504,3618,114,285,230.2,,
5.125,902,924,22,275.0,3500,3624,124,310,301.7,,
5.250,904,926,22,275.0,3500,3622,122,305,300.8,,
5.375,906,930,24,300.0,3496,3620,124,310,324.6,,
5.500,910,928,18,225.0,3492,3618,126,315,257.9,,
5.625,916,936,20,250.0,3490,3616,126,315,280.0,,
5.750,916,936,20,250.0,3484,3614,130,325,281.8,,
5.875,916,936,20,250.0,3482,3586,104,260,270.8,,
6.000,954,992,38,475.0,3602,3686,84,210,482.4,,
6.125,964,996,32,400.0,3582,3680,98,245,411.8,,
6.250,980,1006,26,325.0,3612,3688,76,190,333.8,,
6.375,988,1002,14,175.0,3594,3698,104,260,203.6,,
6.500,986,1014,28,350.0,3574,3688,114,285,368.1,,
6.625,994,1012,18,225.0,3548,3670,122,305,255.9,,
6.750,998,1028,30,375.0,3540,3702,162,405,408.5,,
6.875,1002,1026,24,300.0,3534,3682,148,370,334.5,,
7.000,998,1022,24,300.0,3522,3648,126,315,325.4,,
7.125,992,1024,32,400.0,3530,3656,126,315,419.4,,
7.250,994,1026,32,400.0,3494,3648,154,385,428.6,,
7.375,996,1026,30,375.0,3488,3652,164,410,409.3,,
7.500,1000,1026,26,325.0,3496,3660,164,410,364.0,,
7.625,1008,1030,22,275.0,3490,3658,168,420,322.3,,
7.750,1006,1032,26,325.0,3490,3656,166,415,364.9,,
7.875,1012,1034,22,275.0,3486,3650,164,410,320.2,,
8.000,1006,1034,28,350.0,3476,3630,154,385,382.4,,
8.125,1008,1038,30,375.0,3480,3634,154,385,405.4,,
8.250,1012,1038,26,325.0,3486,3632,146,365,356.3,,
8.375,1012,1046,34,425.0,3494,3652,158,395,453.4,,
8.500,984,1022,38,475.0,3440,3712,272,680,547.4,,
8.625,998,1024,26,325.0,3476,3582,106,265,341.8,,
8.750,998,1036,38,475.0,3466,3604,138,345,494.6,,
8.875,1016,1038,22,275.0,3502,3626,124,310,301.7,,
9.000,1014,1040,26,325.0,3504,3658,154,385,359.6,,
9.125,1014,1036,22,275.0,3518,3642,124,310,301.7,,
9.250,1016,1040,24,300.0,3532,3676,144,360,332.8,,
9.375,1006,1034,28,350.0,3496,3678,182,455,394.5,,
9.500,1014,1036,22,275.0,3510,3684,174,435,325.4,,
9.625,1016,1042,26,325.0,3518,3698,180,450,371.5,,
9.750,1018,1044,26,325.0,3536,3694,158,395,361.4,,
9.875,1010,1040,30,375.0,3522,3688,166,415,410.1,,
10.000,1014,1044,30,375.0,3530,3694,164,410,409.3,,
10.125,1018,1048,30,375.0,3546,3720,174,435,413.4,,
10.250,1034,1058,24,300.0,3564,3728,164,410,341.9,,
10.375,1014,1056,42,525.0,3568,3732,164,410,550.0,,
10.500,1016,1050,34,425.0,3578,3728,150,375,450.7,,
10.625,980,1000,20,250.0,3468,3592,124,310,279.1,,
10.750,982,1006,24,300.0,3454,3626,172,430,345.8,,
10.875,974,1004,30,375.0,3446,3636,190,475,420.4,,
11.000,980,1006,26,325.0,3446,3636,190,475,376.5,,
11.125,982,1008,26,325.0,3446,3650,204,510,383.7,,
11.250,982,1014,32,400.0,3448,3672,224,560,458.4,,
11.375,992,1018,26,325.0,3454,3692,238,595,402.8,,
11.500,996,1024,28,350.0,3464,3692,228,570,417.7,,
11.625,1002,1026,24,300.0,3478,3696,218,545,370.8,,
11.750,1010,1024,14,175.0,3500,3690,190,475,258.3,,
11.875,1020,1036,16,200.0,3526,3704,178,445,267.7,,
12.000,1020,1048,28,350.0,3512,3726,214,535,410.2,,
12.125,1026,1052,26,325.0,3534,3690,156,390,360.5,,
12.250,1038,1064,26,325.0,3552,3708,156,390,360.5,,
12.375,946,982,36,450.0,3368,3532,164,410,479.0,,
12.500,954,986,32,400.0,3370,3538,168,420,433.8,,
12.625,960,1002,42,525.0,3374,3556,182,455,555.7,,
12.750,972,992,20,250.0,3392,3570,178,445,306.9,,
12.875,988,1014,26,325.0,3428,3584,156,390,360.5,,
13.000,984,1022,38,475.0,3400,3598,198,495,514.6,,
13.125,988,1018,30,375.0,3402,3592,190,475,420.4,,
13.250,992,1028,36,450.0,3398,3592,194,485,490.0,,
13.375,1004,1034,30,375.0,3400,3608,208,520,428.8,,
13.500,950,994,44,550.0,3382,3586,204,510,586.6,,
13.625,998,1018,20,250.0,3436,3558,122,305,278.2,,
13.750,1000,1012,12,150.0,3398,3488,90,225,174.9,,
13.875,998,1016,18,225.0,3384,3490,106,265,248.7,,
14.000,1004,1016,12,150.0,3392,3470,78,195,169.1,,
14.125,1004,1050,46,575.0,3406,3598,192,480,606.2,,
14.250,1022,1043,21,262.5,3450,3556,106,265,283.1,,
14.375,1016,1040,24,300.0,3434,3582,148,370,334.5,,
14.500,1018,1046,28,350.0,3452,3594,142,355,377.7,,
14.625,1012,1052,40,500.0,3436,3622,186,465,533.5,,
14.750,1002,1038,36,450.0,3384,3582,198,495,491.6,,
14.875,1014,1042,28,350.0,3392,3600,208,520,407.1,,
15.000,1016,1040,24,300.0,3420,3592,172,430,345.8,,
15.125,1014,1040,26,325.0,3398,3590,192,480,377.5,,
15.250,1016,1042,26,325.0,3426,3594,168,420,365.9,,
15.375,1016,1042,26,325.0,3424,3596,172,430,367.7,,
15.500,1018,1046,28,350.0,3400,3578,178,445,392.7,,
15.625,1042,1058,16,200.0,3490,3594,104,260,225.4,,
15.750,1012,1032,20,250.0,3402,3492,90,225,265.7,,
15.875,1014,1042,28,350.0,3380,3504,124,310,371.3,,
16.000,1022,1042,20,250.0,3378,3506,128,320,280.9,,
16.125,1026,1074,48,600.0,3358,3566,208,520,635.0,,
16.250,1030,1066,36,450.0,3360,3550,190,475,488.5,,
16.375,1050,1070,20,250.0,3384,3526,142,355,287.5,,
16.500,1058,1074,16,200.0,3412,3550,138,345,243.0,,
16.625,1064,1080,16,200.0,3430,3562,132,330,239.6,,
16.750,1066,1090,24,300.0,3436,3554,118,295,322.4,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
