Xline No.,Hangingwall,Footwall,Throw
3856,3221.35,3226.25,4.9
3857,3224.77,3232.72,7.95
3858,3227.13,3241.94,14.81
3859,3230.08,3248.19,18.11
3860,3231.49,3249.67,18.18
3861,3234.42,3251.32,16.9
3862,3239.08,3255.3,16.22
3863,3239.43,3261.76,22.33
3864,3240.47,3262.74,22.27
3865,3241.94,3263.47,21.53
3866,3242.8,3265.17,22.37
3867,3244.6,3267.56,22.96
3868,3245.17,3270.03,24.86
3869,3245.62,3270.77,25.15
3870,3246.48,3271.56,25.08
3871,3248.07,3272.24,24.17
3872,3248.74,3272.97,24.23
3873,3249.38,3273.48,24.1
3874,3250.01,3274.37,24.36
3875,3250.54,3276.24,25.7
3876,3251.11,3280.33,29.22
3877,3253.08,3279.9,26.82
3878,3252.27,3280.29,28.02
3879,3253.13,3279.92,26.79
3880,3251.85,3279.6,27.75
3881,3258.6,3281.48,22.88
3882,3259.94,3281.54,21.6
3883,3261.2,3282.69,21.49
3884,3261.74,3283.76,22.02
3885,3262.81,3284.84,22.03
3886,3261.84,3283.67,21.83
3887,3262.13,3284.79,22.66
3888,3262.42,3285.87,23.45
3889,3262.71,3287.38,24.67
3890,3263.1,3287.33,24.23
3891,3262.93,3285.07,22.14
3892,3261.46,3285.01,23.55
3893,3262.32,3285.2,22.88
3894,3262.08,3285.33,23.25
3895,3264.22,3284.67,20.45
3896,3264.8,3284.3,19.5
3897,3264.51,3283.73,19.22
3898,3264.8,3282.2,17.4
3899,3262.8,3281.53,18.73
3900,3261.74,3281.15,19.41
3901,3260.79,3281.15,20.36
3902,3259.54,3281.24,21.7
3903,3259.16,3281.72,22.56
3904,3258.74,3281.94,23.2
3905,3258.25,3281.19,22.94
3906,3258.85,3280.45,21.6
3907,3259.8,3280.29,20.49
3908,3259.24,3281.02,21.78
3909,3259.75,3280.46,20.71
3910,3260.29,3279.96,19.67
3911,3261.85,3278.45,16.6
3912,3250.57,3277.59,27.02
3913,3250.24,3277.85,27.61
3914,3250.04,3277.7,27.66
3915,3250.09,3277.35,27.26
3916,3250.34,3276.91,26.57
3917,3250.19,3276.23,26.04
3918,3250.39,3275.84,25.45
3919,3250.68,3275.89,25.21
3920,3251.07,3275.79,24.72
3921,3251.27,3275.55,24.28
3922,3251.56,3276.18,24.62
3923,3252.58,3276.95,24.37
3924,3252.33,3277.05,24.72
3925,3252.33,3278.61,26.28
3926,3252.48,3278.12,25.64
3927,3253.19,3277,23.81
3928,3252.89,3275.89,23
3929,3252.78,3274.37,21.59
3930,3252.59,3273.88,21.29
3931,3252.41,3273.64,21.23
3932,3251.12,3275.17,24.05
3933,3251.19,3275.04,23.85
3934,3250.88,3276.27,25.39
3935,3250.45,3275.72,25.27
3936,3249.67,3276.59,26.92
3937,3249.31,3274.76,25.45
3938,3248.57,3274.09,25.52
3939,3248.14,3273.95,25.81
3940,3247.47,3272.86,25.39
3941,3246.61,3272.37,25.76
3942,3246.06,3271.03,24.97
3943,3244.96,3270.17,25.21
3944,3243.8,3269.99,26.19
3945,3242.7,3269.25,26.55
3946,3241.35,3267.35,26
3947,3240.07,3266.68,26.61
3948,3238.91,3267.11,28.2
3949,3238.23,3266.5,28.27
3950,3238.17,3266.81,28.64
3951,3237.74,3266.56,28.82
3952,3237.5,3266.68,29.18
3953,3236.7,3265.68,28.98
3954,3236.46,3264.83,28.37
3955,3235.77,3264.14,28.37
3956,3235.47,3263.15,27.68
3957,3234.85,3261.16,26.31
3958,3234.55,3259.17,24.62
3959,3233.71,3258.03,24.32
3960,3232.82,3257.14,24.32
3961,3231.81,3256.76,24.95
3962,3232.36,3255.84,23.48
3963,3233.43,3254.62,21.19
3964,3233.51,3253.32,19.81
3965,3232.9,3254.77,21.87
3966,3232.59,3255.69,23.1
3967,3231.67,3255.91,24.24
3968,3230.76,3255.99,25.23
3969,3229.38,3255.61,26.23
3970,3228.54,3254.92,26.38
3971,3227.22,3252.67,25.45
3972,3226.53,3251.01,24.48
3973,3225.55,3249.59,24.04
3974,3225.07,3248.51,23.44
3975,3223.94,3247.19,23.25
3976,3223.5,3245.85,22.35
3977,3223.42,3244.95,21.53
3978,3223.1,3243.82,20.72
3979,3223.1,3242.52,19.42
3980,3222.68,3241.35,18.67
3981,3222.6,3240.8,18.2
3982,3222.49,3240.34,17.85
3983,3222.18,3239.33,17.15
3984,3221.65,3238.05,16.4
3985,3221.09,3234.55,13.46
3986,3220.23,3234.42,14.19
3987,3219.25,3234.3,15.05
3988,3218.7,3234.06,15.36
3989,3217.58,3233.52,15.94
3990,3216.84,3233.09,16.25
3991,3215.71,3233.29,17.58
3992,3214.69,3233.63,18.94
3993,3213.95,3233.53,19.58
3994,3213.02,3232.85,19.83
3995,3212.24,3231.72,19.48
3996,3211.06,3230.89,19.83
3997,3210.28,3231.48,21.2
3998,3209.35,3231.13,21.78
3999,3208.42,3230.64,22.22
4000,3207.54,3229.91,22.37
4001,3206.69,3228.66,21.97
4002,3206,3228.32,22.32
4003,3205.22,3228.22,23
4004,3204.19,3227.29,23.1
4005,3201.4,3226.52,25.12
4006,3200.75,3225.57,24.82
4007,3200.9,3225.13,24.23
4008,3200.71,3225.33,24.62
4009,3199.04,3224.45,25.41
4010,3197.82,3223.37,25.55
4011,3197.87,3222.29,24.42
4012,3197.82,3220.97,23.15
4013,3197.62,3220.53,22.91
4014,3199.73,3220.82,21.09
4015,3200.88,3221.68,20.8
4016,3202.78,3220.95,18.17
4017,3205.58,3219.73,14.15
4018,3199.25,3212,12.75
4019,3205.97,3218.16,12.19
4020,3214.76,3218.19,3.43
4021,3212.76,3218.14,5.38
4022,3210.21,3218,7.79
4023,3208.4,3216.19,7.79
4024,3207.03,3214.67,7.64
4025,3205.71,3214.23,8.52
4026,3202.63,3214.18,11.55
4027,3200.94,3212.34,11.4
4028,3199.26,3211.94,12.68
4029,3198.08,3210.58,12.5
4030,3196.36,3209.44,13.08
4031,3197.98,3209.48,11.5
4032,3195.29,3207.82,12.53
4033,3191.06,3202.87,11.81
4034,3189.78,3201.4,11.62
4035,3188.61,3199.26,10.65
4036,3186.16,3197.72,11.56
4037,3183.93,3195.48,11.55
4038,3181.44,3193.14,11.7
4039,3179.59,3191.14,11.55
4040,3178.92,3190.01,11.09
4041,3178.77,3189.65,10.88
4042,3183.75,3188.28,4.53
4043,3180.44,3186.98,6.54
4044,3178.47,3185.46,6.99
4045,3175.48,3184.41,8.93
4046,3173.08,3180.72,7.64
4047,3171.07,3177.21,6.14
4048,3168.8,3175.35,6.55
4049,3165.99,3173.21,7.22
4050,3164.15,3169.78,5.63
4051,3162.5,3167.27,4.77
4052,3160.67,3164.89,4.22
