,Dataset,Error,Per Fault Error,Total Length Error
0,BF1 H2.csv,"(4.3478260869565215, 0.8)",4.3478260869565215,0.8
1,BF2 H2.csv,"(12.5, 3.7037037037037037)",12.5,3.7037037037037037
2,BF3 H2.csv,"(10.0, 3.0303030303030303)",10.0,3.0303030303030303
3,BF4 H2.csv,"(4.3478260869565215, 1.639344262295082)",4.3478260869565215,1.639344262295082
4,F22C1.csv,"(14.285714285714286, 10.0)",14.285714285714286,10.0
5,F22C10.csv,"(25.0, 10.0)",25.0,10.0
6,F22C2.csv,"(33.333333333333336, 11.11111111111111)",33.333333333333336,11.11111111111111
7,F22C3.csv,"(25.0, 7.142857142857143)",25.0,7.142857142857143
8,F22C4.csv,"(11.11111111111111, 3.125)",11.11111111111111,3.125
9,F22C5.csv,"(33.333333333333336, 7.142857142857143)",33.333333333333336,7.142857142857143
10,F22C6.csv,"(33.333333333333336, 6.25)",33.333333333333336,6.25
11,F22C7.csv,"(20.0, 5.2631578947368425)",20.0,5.2631578947368425
12,F22C8.csv,"(20.0, 5.2631578947368425)",20.0,5.2631578947368425
13,F22C9.csv,"(25.0, 5.555555555555555)",25.0,5.555555555555555
14,F9.csv 1,"(25.0, 11.11111111111111)",25.0,11.11111111111111
15,F9.csv 2,"(25.0, 10.0)",25.0,10.0
16,F9.csv 3,"(14.285714285714286, 6.25)",14.285714285714286,6.25
17,F9.csv 4,"(14.285714285714286, 4.545454545454546)",14.285714285714286,4.545454545454546
18,F9.csv 5,"(16.666666666666668, 5.882352941176471)",16.666666666666668,5.882352941176471
19,F9.csv 6,"(16.666666666666668, 4.3478260869565215)",16.666666666666668,4.3478260869565215
20,F9.csv 7,"(25.0, 4.761904761904762)",25.0,4.761904761904762
21,F9.csv 8,"(9.090909090909092, 3.0303030303030303)",9.090909090909092,3.0303030303030303
22,F9.csv 9,"(12.5, 2.7777777777777777)",12.5,2.7777777777777777
23,F9.csv 10,"(6.666666666666667, 2.0833333333333335)",6.666666666666667,2.0833333333333335
24,F9.csv 11,"(14.285714285714286, 3.0303030303030303)",14.285714285714286,3.0303030303030303
