Distance (km),CDP HW,CDP FW,Heave (CDP Diff),Heave (m),Z (ms) HW,Z (ms) FW,Throw (Z Diff),Throw (m),Displacement (m),,
0.000,1458,1449,9,112.5,3548,3590,42,105,120.1,,
0.125,1470,1454,16,200.0,3542,3582,40,100,204.0,,
0.250,1472,1461,11,137.5,3550,3592,42,105,143.8,,
0.375,1479,1465,14,175.0,3550,3592,42,105,180.0,,
0.500,1481,1470,11,137.5,3550,3598,48,120,145.6,,
0.625,1481,1472,9,112.5,3568,3596,28,70,115.9,,
0.750,1494,1472,22,275.0,3558,3602,44,110,278.5,,
0.875,1499,1486,13,162.5,3570,3610,40,100,167.4,,
1.000,1508,1496,12,150.0,3596,3638,42,105,155.8,,
1.125,1512,1500,12,150.0,3586,3644,58,145,160.8,,
1.250,1529,1516,13,162.5,3604,3672,68,170,176.2,,
1.375,1540,1521,19,237.5,3592,3682,90,225,254.0,,
1.500,1552,1531,21,262.5,3582,3670,88,220,276.9,,
1.625,1548,1532,16,200.0,3606,3692,86,215,217.7,,
1.750,1547,1534,13,162.5,3608,3692,84,210,182.9,,
1.875,1548,1536,12,150.0,3618,3694,76,190,168.2,,
2.000,1558,1539,19,237.5,3598,3716,118,295,265.2,,
2.125,1564,1540,24,300.0,3580,3710,130,325,327.0,,
2.250,1596,1541,55,687.5,3578,3690,112,280,696.6,,
2.375,1563,1543,20,250.0,3568,3684,116,290,275.6,,
2.500,1567,1545,22,275.0,3562,3690,128,320,303.3,,
2.625,1567,1548,19,237.5,3572,3696,124,310,267.9,,
2.750,1572,1544,28,350.0,3580,3716,136,340,375.5,,
2.875,1571,1552,19,237.5,3598,3718,120,300,266.1,,
3.000,1571,1551,20,250.0,3602,3708,106,265,271.5,,
3.125,1570,1554,16,200.0,3612,3716,104,260,225.4,,
3.250,1566,1556,10,125.0,3616,3694,78,195,147.3,,
3.375,1564,1558,6,75.0,3620,3690,70,175,102.6,,
3.500,1568,1555,13,162.5,3616,3694,78,195,180.3,,
3.625,1572,1558,14,175.0,3586,3706,120,300,212.2,,
3.750,1584,1556,28,350.0,3574,3704,130,325,373.4,,
3.875,1584,1563,21,262.5,3594,3724,130,325,292.9,,
4.000,1583,1568,15,187.5,3598,3706,108,270,216.4,,
4.125,1588,1566,22,275.0,3608,3722,114,285,297.7,,
4.250,1586,1566,20,250.0,3598,3708,110,275,273.1,,
4.375,1579,1565,14,175.0,3598,3706,108,270,205.6,,
4.500,1577,1566,11,137.5,3602,3706,104,260,172.4,,
4.625,1579,1559,20,250.0,3594,3704,110,275,273.1,,
4.750,1579,1558,21,262.5,3588,3710,122,305,289.5,,
4.875,1576,1562,14,175.0,3584,3714,130,325,218.0,,
5.000,1577,1563,14,175.0,3602,3710,108,270,205.6,,
5.125,1581,1561,20,250.0,3600,3706,106,265,271.5,,
5.250,1581,1564,17,212.5,3596,3702,106,265,237.5,,
5.375,1578,1558,20,250.0,3614,3722,108,270,272.3,,
5.500,1577,1560,17,212.5,3614,3724,110,275,239.3,,
5.625,1592,1560,32,400.0,3630,3722,92,230,410.4,,
5.750,1571,1553,18,225.0,3624,3716,92,230,243.1,,
5.875,1576,1556,20,250.0,3602,3710,108,270,272.3,,
6.000,1574,1557,17,212.5,3602,3710,108,270,238.4,,
6.125,1575,1559,16,200.0,3600,3702,102,255,224.5,,
6.250,1573,1557,16,200.0,3598,3696,98,245,222.7,,
6.375,1572,1556,16,200.0,3582,3680,98,245,222.7,,
6.500,1577,1559,18,225.0,3586,3680,94,235,243.8,,
6.625,1584,1569,15,187.5,3558,3648,90,225,208.0,,
6.750,1586,1568,18,225.0,3554,3666,112,280,251.3,,
6.875,1588,1570,18,225.0,3552,3658,106,265,248.7,,
7.000,1580,1565,15,187.5,3546,3666,120,300,222.6,,
7.125,1583,1560,23,287.5,3580,3692,112,280,308.5,,
7.250,1575,1557,18,225.0,3576,3698,122,305,255.9,,
7.375,1566,1549,17,212.5,3592,3692,100,250,234.9,,
7.500,1564,1545,19,237.5,3590,3714,124,310,267.9,,
7.625,1564,1543,21,262.5,3592,3722,130,325,292.9,,
7.750,1570,1545,25,312.5,3570,3702,132,330,339.2,,
7.875,1568,1542,26,325.0,3566,3706,140,350,353.9,,
8.000,1562,1537,25,312.5,3564,3708,144,360,344.1,,
8.125,1558,1539,19,237.5,3564,3680,116,290,264.3,,
8.250,1556,1525,31,387.5,3556,3720,164,410,420.8,,
8.375,1541,1517,24,300.0,3576,3720,144,360,332.8,,
8.500,1540,1519,21,262.5,3576,3734,158,395,306.4,,
8.625,1536,1518,18,225.0,3578,3730,152,380,271.5,,
8.750,1538,1516,22,275.0,3592,3702,110,275,296.2,,
8.875,1541,1512,29,362.5,3606,3716,110,275,378.8,,
9.000,1543,1520,23,287.5,3586,3722,136,340,318.0,,
9.125,1536,1511,25,312.5,3588,3738,150,375,346.6,,
9.250,1535,1511,24,300.0,3608,3712,104,260,317.5,,
9.375,1530,1507,23,287.5,3574,3674,100,250,304.4,,
9.500,1524,1495,29,362.5,3562,3664,102,255,376.6,,
9.625,1523,1488,35,437.5,3542,3674,132,330,457.0,,
9.750,1502,1481,21,262.5,3560,3658,98,245,280.2,,
9.875,1481,1465,16,200.0,3560,3654,94,235,221.0,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
