Xline No.,Hangingwall,Footwall,Throw
4386,3259.09,3264.2,5.11
4387,3260.44,3266.33,5.89
4388,3261.69,3268.01,6.32
4389,3262.67,3270.39,7.72
4390,3263.05,3271.51,8.46
4391,3264.01,3273.16,9.15
4392,3265.08,3274.2,9.12
4393,3265.71,3275.32,9.61
4394,3266.3,3276.54,10.24
4395,3267.05,3278.05,11
4396,3267.94,3279.41,11.47
4397,3269.07,3281.1,12.03
4398,3269.7,3282.93,13.23
4399,3270.6,3283.56,12.96
4400,3271.87,3285.09,13.22
4401,3273.5,3286.03,12.53
4402,3274.72,3286.51,11.79
4403,3275.47,3287.1,11.63
4404,3276.6,3288.43,11.83
4405,3277.68,3289.98,12.3
4406,3278.27,3290.96,12.69
4407,3279.84,3292.17,12.33
4408,3281.21,3294.01,12.8
4409,3280.39,3293.08,12.69
4410,3280.8,3293.8,13
4411,3281.24,3295.58,14.34
4412,3283.96,3296.68,12.72
4413,3282.62,3295.55,12.93
4414,3285.12,3298.27,13.15
4415,3285.94,3299.09,13.15
4416,3286.19,3299.99,13.8
4417,3286.18,3302.15,15.97
4418,3286.57,3303.91,17.34
4419,3287.98,3304.35,16.37
4420,3289.15,3304.66,15.51
4421,3289.58,3305.28,15.7
4422,3289.92,3305.53,15.61
4423,3290.41,3306.51,16.1
4424,3290.46,3307.16,16.7
4425,3290.85,3307.19,16.34
4426,3291.29,3307.54,16.25
4427,3291.83,3308.61,16.78
4428,3292.76,3310.96,18.2
4429,3293.57,3313.25,19.68
4430,3296.65,3313.69,17.04
4431,3295.58,3312.91,17.33
4432,3296.27,3312.86,16.59
4433,3296.12,3313.38,17.26
4434,3296.07,3313.63,17.56
4435,3295.43,3313.64,18.21
4436,3295.23,3314.5,19.27
4437,3295.35,3314.56,19.21
4438,3295.47,3315.24,19.77
4439,3295.35,3315.3,19.95
4440,3295.72,3315.85,20.13
4441,3296.15,3315.85,19.7
4442,3295.84,3315.97,20.13
4443,3295.66,3316.77,21.11
4444,3295.72,3317.19,21.47
4445,3295.6,3317.86,22.26
4446,3294.92,3318.33,23.41
4447,3294.61,3319.21,24.6
4448,3294.55,3319.7,25.15
4449,3294.55,3319.15,24.6
4450,3294.49,3318.78,24.29
4451,3294.43,3318.78,24.35
4452,3294.74,3318.42,23.68
4453,3295.05,3318.3,23.25
4454,3295.17,3318.6,23.43
4455,3295.6,3318.84,23.24
4456,3295.53,3319.89,24.36
4457,3295.17,3320.01,24.84
4458,3295.11,3319.64,24.53
4459,3295.17,3319.95,24.78
4460,3294.8,3319.33,24.53
4461,3294.25,3319.27,25.02
4462,3293.76,3318.97,25.21
4463,3293.64,3318.91,25.27
4464,3293.64,3319.21,25.57
4465,3293.7,3319.64,25.94
4466,3293.64,3320.43,26.79
4467,3294.07,3319.89,25.82
4468,3294.61,3319.82,25.21
4469,3294.43,3319.82,25.39
4470,3294,3319.52,25.52
4471,3293.82,3319.15,25.33
4472,3293.7,3318.66,24.96
4473,3294.07,3317.81,23.74
4474,3293.89,3317.07,23.18
4475,3294.07,3316.7,22.63
4476,3293.09,3317.07,23.98
4477,3292.24,3317.01,24.77
4478,3291.68,3316.64,24.96
4479,3291.74,3316.03,24.29
4480,3291.13,3315.42,24.29
4481,3290.46,3314.99,24.53
4482,3290.32,3313.96,23.64
4483,3290.02,3313.76,23.74
4484,3289.05,3311.99,22.94
4485,3288.68,3310.78,22.1
4486,3287.38,3310.17,22.79
4487,3287.07,3309.4,22.33
4488,3284.19,3304.76,20.57
4489,3283.89,3303.08,19.19
4490,3282.21,3302.47,20.26
4491,3280.98,3300.03,19.05
4492,3279.68,3299.19,19.51
4493,3278.46,3298.72,20.26
4494,3277.31,3298.19,20.88
4495,3278.23,3298.62,20.39
4496,3277.16,3297.96,20.8
4497,3276.7,3297.19,20.49
4498,3275.4,3297.35,21.95
4499,3275.25,3297.42,22.17
4500,3274.63,3297.8,23.17
4501,3274.4,3298.79,24.39
4502,3273.79,3298.64,24.85
4503,3273.71,3298.57,24.86
4504,3273.63,3297.72,24.09
4505,3272.95,3297.65,24.7
4506,3272.18,3297.8,25.62
4507,3269,3294.55,25.55
4508,3267.88,3294.06,26.18
4509,3267.61,3293.77,26.16
4510,3269.47,3295.1,25.63
4511,3269.03,3293.94,24.91
4512,3268.05,3293.21,25.16
4513,3267.12,3292.77,25.65
4514,3266.48,3292.13,25.65
4515,3266.63,3291.51,24.88
4516,3266.39,3291.93,25.54
4517,3266.24,3291.25,25.01
4518,3266.58,3290.47,23.89
4519,3264.09,3288.8,24.71
4520,3263.49,3288.9,25.41
4521,3263.15,3288.94,25.79
4522,3263.35,3289.32,25.97
4523,3263.83,3289.38,25.55
4524,3263.88,3289.19,25.31
4525,3264.59,3288.92,24.33
4526,3264.2,3289.32,25.12
4527,3266.34,3289,22.66
4528,3265.84,3289.68,23.84
4529,3266.14,3290.01,23.87
4530,3266.24,3290.52,24.28
4531,3270.99,3291.18,20.19
4532,3274.68,3291.18,16.5
4533,3275.85,3291.63,15.78
4534,3276.85,3292.51,15.66
4535,3277.63,3293.14,15.51
4536,3277.92,3293.54,15.62
4537,3278.85,3293.73,14.88
4538,3278.76,3295.05,16.29
4539,3279,3297.4,18.4
4540,3279.17,3298.21,19.04
4541,3277.95,3298.8,20.85
4542,3276.82,3299.58,22.76
4543,3276.38,3300.02,23.64
4544,3276.84,3300.09,23.25
4545,3274.74,3299.51,24.77
4546,3274.03,3298.55,24.52
4547,3273.39,3298.11,24.72
4548,3272.76,3298.01,25.25
4549,3272.12,3297.47,25.35
4550,3271.24,3296.84,25.6
4551,3270.65,3296.05,25.4
4552,3269.77,3295.71,25.94
4553,3269.18,3295.27,26.09
