Xline No.,Hangingwall,Footwall,Throw
4554,3268.89,3295.12,26.23
4555,3268.53,3294.96,26.43
4556,3267.8,3294.53,26.73
4557,3267.36,3294.35,26.99
4558,3267.49,3294.59,27.1
4559,3268.41,3294.65,26.24
4560,3269.57,3294.71,25.14
4561,3271.08,3295.46,24.38
4562,3270.8,3296.42,25.62
4563,3270.89,3296.8,25.91
4564,3270.61,3295.65,25.04
4565,3270.32,3295.18,24.86
4566,3270.32,3295.37,25.05
4567,3269.84,3296.13,26.29
4568,3269.37,3297.18,27.81
4569,3269.27,3297.37,28.1
4570,3268.6,3296.13,27.53
4571,3267.74,3294.99,27.25
4572,3266.98,3294.32,27.34
4573,3266.49,3293.74,27.25
4574,3265.73,3293.64,27.91
4575,3265.35,3293.36,28.01
4576,3264.3,3293.07,28.77
4577,3263.53,3290.4,26.87
4578,3263.25,3288.87,25.62
4579,3262.03,3287.29,25.26
4580,3260.71,3285.67,24.96
4581,3259.12,3283.84,24.72
4582,3258.69,3282.67,23.98
4583,3257.65,3281.7,24.05
4584,3257.1,3280.72,23.62
4585,3258.21,3278.77,20.56
4586,3257.48,3277.48,20
4587,3257.35,3276.14,18.79
4588,3257.36,3274.44,17.08
4589,3256.77,3272.92,16.15
4590,3258.09,3270.82,12.73
4591,3258.05,3269.53,11.48
4592,3257.62,3269.22,11.6
4593,3256.79,3267.07,10.28
4594,3255.99,3265.11,9.12
4595,3255.14,3263.28,8.14
4596,3254.69,3261.6,6.91
4597,3254.13,3259.4,5.27
4598,3252.27,3257.38,5.11
4599,3251.07,3255.72,4.65
4600,3249.54,3253.89,4.35
4601,3248.69,3251.93,3.24
