Inline No.,Hangingwall,Footwall,Throw
8276,3142.04,3148.17,6.13
8277,3141.92,3158.18,16.26
8278,3140.48,3158.65,18.17
8279,3137.62,3159.25,21.63
8280,3137.72,3159.27,21.55
8281,3136.22,3160.27,24.05
8282,3134.13,3162.06,27.93
8283,3132.79,3163.55,30.76
8284,3132.53,3165.28,32.75
8285,3130.74,3168.62,37.88
8286,3130.74,3174.24,43.5
8287,3131.58,3174.47,42.89
8288,3130.26,3176.83,46.57
8289,3128.63,3178.24,49.61
8290,3128.68,3188.04,59.36
8291,3129.25,3187.57,58.32
8292,3128.58,3187.81,59.23
8293,3127.96,3185.99,58.03
8294,3127.95,3186.64,58.69
8295,3130.93,3181.72,50.79
8296,3129.5,3178.73,49.23
8297,3128.18,3177.3,49.12
8298,3126.28,3177.41,51.13
8299,3124.75,3178.76,54.01
8300,3122.96,3178.52,55.56
8301,3121.76,3177.21,55.45
8302,3119.74,3175.77,56.03
8303,3116.74,3175.06,58.32
8304,3116.51,3173.15,56.64
8305,3116.51,3171.83,55.32
8306,3117.12,3169.69,52.57
8307,3117.58,3165.62,48.04
8308,3116.99,3163.35,46.36
8309,3115.8,3156.42,40.62
8310,3114.36,3154.86,40.5
8311,3112.61,3154.06,41.45
8312,3112.9,3151.23,38.33
8313,3112.9,3142.15,29.25
8314,3111.75,3142.34,30.59
8315,3110.73,3138.88,28.15
8316,3110.12,3136.82,26.7
8317,3109.2,3134.78,25.58
8318,3107.31,3133.74,26.43
8319,3103.59,3132.53,28.94
8320,3103.89,3132.22,28.33
8321,3105.06,3130.81,25.75
8322,3105.24,3129.96,24.72
8323,3104.87,3130.94,26.07
8324,3105.06,3130.63,25.57
8325,3105.42,3130.38,24.96
8326,3105.18,3130.57,25.39
8327,3103.89,3130.2,26.31
8328,3103.16,3129.28,26.12
8329,3103.71,3128.85,25.14
8330,3101.54,3128.89,27.35
8331,3103.13,3128.83,25.7
8332,3102.21,3128.09,25.88
8333,3103.42,3126.48,23.06
8334,3104.96,3124.85,19.89
8335,3105.78,3126.83,21.05
8336,3107.49,3124.97,17.48
8337,3109.25,3122.96,13.71
8338,3109.84,3120.81,10.97
8339,3110.43,3119.98,9.55
8340,3113.15,3117.46,4.31
